tracking_id,Gene_symbol,PairingNumber
ENSMUSG00000064341,mt-Nd1,1
ENSMUSG00000064345,mt-Nd2,2
ENSMUSG00000064351,mt-Co1,3
ENSMUSG00000064354,mt-Co2,4
ENSMUSG00000064356,mt-Atp8,5
ENSMUSG00000064357,mt-Atp6,6
ENSMUSG00000064358,mt-Co3,7
ENSMUSG00000064360,mt-Nd3,8
ENSMUSG00000065947,mt-Nd4l,9
ENSMUSG00000064363,mt-Nd4,10
ENSMUSG00000064367,mt-Nd5,11
ENSMUSG00000064368,mt-Nd6,12
ENSMUSG00000064370,mt-Cytb,13
ENSMUSG00000088668,Gm25335,14
ENSMUSG00000088014,Gm23743,15
ENSMUSG00000094820,Gm23805,16
ENSMUSG00000064845,Gm26203,17
ENSMUSG00000065041,Gm24044,18
ENSMUSG00000084609,Gm22199,19
ENSMUSG00000088176,Gm23094,20
ENSMUSG00000080364,Gm25777,21
ENSMUSG00000064853,Gm23442,22
ENSMUSG00000065791,Gm25516,23
ENSMUSG00000095052,Gm25672,24
ENSMUSG00000096310,Gm23523,25
ENSMUSG00000096249,Gm24263,26
ENSMUSG00000088505,Gm26489,27
ENSMUSG00000087847,Gm25624,28
ENSMUSG00000088789,Scarna13,29
ENSMUSG00000105780,Snord80,30
ENSMUSG00000093929,Gm23862,31
ENSMUSG00000065030,n-R5s160,32
ENSMUSG00000064525,Gm26440,33
ENSMUSG00000065200,Gm24613,34
ENSMUSG00000077526,Gm25379,35
ENSMUSG00000064671,Gm22807,36
ENSMUSG00000065333,Gm24928,37
ENSMUSG00000064527,Gm26438,38
ENSMUSG00000088851,Gm24728,39
ENSMUSG00000064665,Gm24460,40
ENSMUSG00000064435,Gm25588,41
ENSMUSG00000065346,Gm25582,42
ENSMUSG00000089072,Gm24500,43
ENSMUSG00000065086,Gm26495,44
ENSMUSG00000065847,Gm25188,45
ENSMUSG00000064471,Gm23406,46
ENSMUSG00000064811,Gm22358,47
ENSMUSG00000077527,Gm25506,48
ENSMUSG00000065463,Snord45c,49
ENSMUSG00000098526,Gm27366,50
ENSMUSG00000064802,Gm24036,51
