tracking_id,Gene_symbol,PairingNumber
ENSG00000198888,MT-ND1,1
ENSG00000198763,MT-ND2,2
ENSG00000198804,MT-CO1,3
ENSG00000198712,MT-CO2,4
ENSG00000228253,MT-ATP8,5
ENSG00000198899,MT-ATP6,6
ENSG00000198938,MT-CO3,7
ENSG00000198840,MT-ND3,8
ENSG00000212907,MT-ND4L,9
ENSG00000198886,MT-ND4,10
ENSG00000198786,MT-ND5,11
ENSG00000198695,MT-ND6,12
ENSG00000198727,MT-CYB,13
ENSG00000200898,RNU6-1243P,14
ENSG00000252396,RN7SKP195,15
ENSG00000199335,RNU6-204P,16
ENSG00000202095,RNU6-1172P,17
ENSG00000206760,SNORA6,18
ENSG00000252341,Y_RNA,19
ENSG00000252812,RN7SKP2,20
ENSG00000221643,SNORA77,21
ENSG00000200816,SNORA38,22
ENSG00000200882,RNU6-681P,23
ENSG00000200882,RNU6-681P,24
ENSG00000200882,RNU6-681P,25
ENSG00000252581,RNU6-1098P,26
ENSG00000252481,SCARNA13,27
ENSG00000252481,SCARNA13,28
ENSG00000252481,SCARNA13,29
ENSG00000251967,AC104304.1,30
ENSG00000207014,SNORD116-3,31
ENSG00000274059,RNA5SP534,32
ENSG00000201302,SNORA65,33
ENSG00000201302,SNORA65,34
ENSG00000201302,SNORA65,35
ENSG00000201302,SNORA65,36
ENSG00000206880,RNU6-1310P,37
ENSG00000223188,Y_RNA,38
ENSG00000202434,AC010746.1,39
ENSG00000202434,AC010746.1,40
ENSG00000202434,AC010746.1,41
ENSG00000202434,AC010746.1,42
ENSG00000202434,AC010746.1,43
ENSG00000202434,AC010746.1,44
ENSG00000206799,SNORA32,45
ENSG00000206799,SNORA32,46
ENSG00000206799,SNORA32,47
ENSG00000212302,AL135998.1,48
ENSG00000206620,SNORD45C,49
ENSG00000275231,AC007351.4,50
ENSG00000252135,RNVU1-2,51
ENSG00000222924,RNU6-1148P,52
ENSG00000222924,RNU6-1148P,53
ENSG00000201330,SNORD32B,54
ENSG00000202239,RNU6-396P,55
ENSG00000252292,RN7SKP238,56
ENSG00000199836,RNU1-47P,57
ENSG00000222561,RNU6-1025P,58
ENSG00000222561,RNU6-1025P,59
ENSG00000201384,AC007375.1,60
ENSG00000201384,AC007375.1,61
ENSG00000201384,AC007375.1,62
ENSG00000201384,AC007375.1,63
ENSG00000201384,AC007375.1,64
ENSG00000201384,AC007375.1,65
ENSG00000201384,AC007375.1,66
ENSG00000201384,AC007375.1,67
ENSG00000201384,AC007375.1,68
ENSG00000201384,AC007375.1,69
ENSG00000201384,AC007375.1,70
ENSG00000201384,AC007375.1,71
ENSG00000201384,AC007375.1,72
ENSG00000201384,AC007375.1,73
ENSG00000201384,AC007375.1,74
ENSG00000201384,AC007375.1,75
ENSG00000238529,RNU6-599P,76
ENSG00000252682,AL354980.1,77
ENSG00000222604,AC007956.1,78
ENSG00000223026,RN7SKP247,79
ENSG00000207100,Z77249.1,80
ENSG00000207100,Z77249.1,81
ENSG00000206791,RNU1-129P,82
ENSG00000280554,AC116913.2,83
ENSG00000199894,AC093872.1,84
ENSG00000212526,RNU6-466P,85
ENSG00000207195,Y_RNA,86
ENSG00000200184,RNU1-20P,87
ENSG00000200184,RNU1-20P,88
ENSG00000200418,SNORA63B,89
ENSG00000200525,RNU6-1209P,90
ENSG00000277411,5S_rRNA,91
ENSG00000277411,5S_rRNA,92
ENSG00000277411,5S_rRNA,93
ENSG00000201255,RNU6-990P,94
ENSG00000277583,AC106873.7,95
ENSG00000207462,RNU6-376P,96
ENSG00000206635,RNU6-1062P,97
ENSG00000212153,RNU1-82P,98
ENSG00000277887,SNORA50C,99
ENSG00000222543,RN7SKP220,100
ENSG00000200875,RNU6-340P,101
ENSG00000222598,RNU2-49P,102
ENSG00000283785,MIR15A,103
ENSG00000252257,RN7SKP265,104
ENSG00000251898,SCARNA11,105
ENSG00000207233,SNORA37,106
ENSG00000207233,SNORA37,107
ENSG00000208036,MIR106B,108
ENSG00000281910,SNORA50A,109
ENSG00000200480,SNORD114-28,110
ENSG00000206802,RNU6-926P,111
ENSG00000206802,RNU6-926P,112
ENSG00000202408,RNU1-122P,113
ENSG00000284038,MIR10A,114
ENSG00000212327,RNU6-882P,115
ENSG00000253067,AC034216.1,116
ENSG00000216179,MIR541,117
ENSG00000278782,AC136616.3,118
ENSG00000278782,AC136616.3,119
ENSG00000278782,AC136616.3,120
ENSG00000278782,AC136616.3,121
ENSG00000278782,AC136616.3,122
ENSG00000278782,AC136616.3,123
ENSG00000278782,AC136616.3,124
ENSG00000278782,AC136616.3,125
ENSG00000278782,AC136616.3,126
ENSG00000278782,AC136616.3,127
ENSG00000278782,AC136616.3,128
ENSG00000278782,AC136616.3,129
ENSG00000278782,AC136616.3,130
ENSG00000278782,AC136616.3,131
ENSG00000278782,AC136616.3,132
ENSG00000278782,AC136616.3,133
ENSG00000278782,AC136616.3,134
ENSG00000278782,AC136616.3,135
ENSG00000278782,AC136616.3,136
ENSG00000278782,AC136616.3,137
ENSG00000278782,AC136616.3,138
ENSG00000278782,AC136616.3,139
ENSG00000278782,AC136616.3,140
ENSG00000278782,AC136616.3,141
ENSG00000278782,AC136616.3,142
ENSG00000278782,AC136616.3,143
ENSG00000278782,AC136616.3,144
ENSG00000278782,AC136616.3,145
ENSG00000278782,AC136616.3,146
ENSG00000278782,AC136616.3,147
ENSG00000278782,AC136616.3,148
ENSG00000278782,AC136616.3,149
ENSG00000278782,AC136616.3,150
ENSG00000278782,AC136616.3,151
ENSG00000278782,AC136616.3,152
ENSG00000278782,AC136616.3,153
ENSG00000278782,AC136616.3,154
ENSG00000278782,AC136616.3,155
ENSG00000278782,AC136616.3,156
ENSG00000278782,AC136616.3,157
ENSG00000278782,AC136616.3,158
ENSG00000278782,AC136616.3,159
ENSG00000278782,AC136616.3,160
ENSG00000278782,AC136616.3,161
ENSG00000278782,AC136616.3,162
ENSG00000278782,AC136616.3,163
ENSG00000278782,AC136616.3,164
ENSG00000278782,AC136616.3,165
ENSG00000278782,AC136616.3,166
ENSG00000278782,AC136616.3,167
ENSG00000278782,AC136616.3,168
ENSG00000278782,AC136616.3,169
ENSG00000278782,AC136616.3,170
ENSG00000278782,AC136616.3,171
